approach,starting_age,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_worst_50pct_mean,terminal_mean,annual_contribution,normalization
Ours,40,1.0358463627127974,1.2621724735163002,1.555613139962831,2.1193268102729594,4.399217830630666,8.613717919638741,0.02080868214288,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,41,0.9569321181634298,1.1696040133921064,1.4453193198818697,1.9679070517148736,4.044163791011081,7.835981284857624,0.0189528859381982,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,42,0.8884291703448756,1.080187464816312,1.332030394402786,1.8140349842496026,3.7174864715621663,7.165763683678646,0.0172989367745572,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,43,0.8295811881012175,1.0112300894144313,1.2481218620237482,1.6918845799100715,3.43657621785951,6.569276987109893,0.0158494041754015,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,44,0.7826619918529049,0.9500607278601957,1.1694929603510116,1.5779805043548607,3.1855935853183266,6.0273440567601035,0.0145523254086888,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,45,0.7368382612800819,0.8906889770128353,1.0901323974665675,1.4668565171515175,2.943463435154844,5.523219325892928,0.0133481164644708,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,46,0.6937490713145984,0.8372991325269328,1.022624174660971,1.3681635740714124,2.724526010359708,5.074981129164565,0.0122636688997595,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,47,0.6556252527582738,0.7893732048402688,0.9628293349318133,1.2860149433933539,2.535525619415409,4.680516556424407,0.0113158761375511,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,48,0.618121287481174,0.741838719919529,0.9041626309201694,1.205511697882361,2.3572691647534345,4.3102337867222635,0.0104322303552679,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,49,0.5820993812139802,0.6998096405034206,0.8506892168049648,1.1303422787411117,2.193230528729596,3.963630034500369,0.0096275281695293,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,50,0.5595342428283124,0.6690856248890804,0.8103069319524457,1.0675760019648,2.047882271035547,3.66150126957865,0.0089248538715446,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,51,0.5409683778159494,0.6401966155835417,0.7706766954826765,1.0101338627788232,1.9182470060479462,3.397949947892165,0.0083108466220378,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
